Portfolio Value
10000.0
9943.661971830987
10084.507042253521
10140.845070422536
10197.18309859155
10281.69014084507
10366.197183098591
10422.535211267606
10478.87323943662
10535.211267605635
10535.211267605635
10591.249625412049
10647.28798321846
10703.326341024875
10759.364698831287
10815.4030566377
10871.441414444113
10927.479772250526
10983.518130056938
11039.556487863352
11095.594845669764
11095.594845669762
11151.351603688205
11207.108361706645
11262.865119725086
11318.621877743528
11374.378635761968
11430.135393780409
11485.892151798851
11541.648909817291
11597.405667835732
11653.162425854174
11653.162425854172
11708.653675501098
11764.144925148023
11819.636174794947
11875.127424441871
11930.618674088797
11986.109923735721
12041.601173382645
12097.09242302957
12152.583672676496
12208.07492232342
12263.566171970344
12263.566171970344
12318.807461033273
12374.048750096203
12429.290039159132
12484.531328222061
12539.77261728499
