2024-05-31 18:55:18,815 Data loaded successfully from /Users/gorkemberkeyuksel/Documents/GitHub/Lunapki/data/fetched_data.csv
2024-05-31 18:55:18,823 Error in preprocessing data: "['HA_Open', 'HA_Close'] not in index"
2024-05-31 18:56:18,833 Data loaded successfully from /Users/gorkemberkeyuksel/Documents/GitHub/Lunapki/data/fetched_data.csv
2024-05-31 18:56:18,838 Error in preprocessing data: "['HA_Open', 'HA_Close'] not in index"
2024-05-31 18:57:18,842 Data loaded successfully from /Users/gorkemberkeyuksel/Documents/GitHub/Lunapki/data/fetched_data.csv
2024-05-31 18:57:18,848 Error in preprocessing data: "['HA_Open', 'HA_Close'] not in index"
2024-05-31 18:58:18,854 Data loaded successfully from /Users/gorkemberkeyuksel/Documents/GitHub/Lunapki/data/fetched_data.csv
2024-05-31 18:58:18,859 Error in preprocessing data: "['HA_Open', 'HA_Close'] not in index"
2024-05-31 18:59:18,864 Data loaded successfully from /Users/gorkemberkeyuksel/Documents/GitHub/Lunapki/data/fetched_data.csv
2024-05-31 18:59:18,874 Error in preprocessing data: "['HA_Open', 'HA_Close'] not in index"
2024-05-31 19:00:18,881 Data loaded successfully from /Users/gorkemberkeyuksel/Documents/GitHub/Lunapki/data/fetched_data.csv
2024-05-31 19:00:18,902 Error in preprocessing data: "['HA_Open', 'HA_Close'] not in index"
2024-05-31 19:01:18,909 Data loaded successfully from /Users/gorkemberkeyuksel/Documents/GitHub/Lunapki/data/fetched_data.csv
2024-05-31 19:01:18,918 Error in preprocessing data: "['HA_Open', 'HA_Close'] not in index"
2024-05-31 19:02:18,923 Data loaded successfully from /Users/gorkemberkeyuksel/Documents/GitHub/Lunapki/data/fetched_data.csv
2024-05-31 19:02:18,937 Error in preprocessing data: "['HA_Open', 'HA_Close'] not in index"
2024-05-31 19:03:18,952 Data loaded successfully from /Users/gorkemberkeyuksel/Documents/GitHub/Lunapki/data/fetched_data.csv
2024-05-31 19:03:18,960 Error in preprocessing data: "['HA_Open', 'HA_Close'] not in index"
2024-05-31 19:04:18,967 Data loaded successfully from /Users/gorkemberkeyuksel/Documents/GitHub/Lunapki/data/fetched_data.csv
2024-05-31 19:04:18,976 Error in preprocessing data: "['HA_Open', 'HA_Close'] not in index"
2024-05-31 19:05:18,985 Data loaded successfully from /Users/gorkemberkeyuksel/Documents/GitHub/Lunapki/data/fetched_data.csv
2024-05-31 19:05:18,989 Error in preprocessing data: "['HA_Open', 'HA_Close'] not in index"
2024-05-31 19:06:18,999 Data loaded successfully from /Users/gorkemberkeyuksel/Documents/GitHub/Lunapki/data/fetched_data.csv
2024-05-31 19:06:19,006 Error in preprocessing data: "['HA_Open', 'HA_Close'] not in index"
2024-05-31 19:07:19,013 Data loaded successfully from /Users/gorkemberkeyuksel/Documents/GitHub/Lunapki/data/fetched_data.csv
2024-05-31 19:07:19,018 Error in preprocessing data: "['HA_Open', 'HA_Close'] not in index"
2024-05-31 19:08:19,032 Data loaded successfully from /Users/gorkemberkeyuksel/Documents/GitHub/Lunapki/data/fetched_data.csv
2024-05-31 19:08:19,039 Error in preprocessing data: "['HA_Open', 'HA_Close'] not in index"
2024-05-31 19:09:19,050 Data loaded successfully from /Users/gorkemberkeyuksel/Documents/GitHub/Lunapki/data/fetched_data.csv
2024-05-31 19:09:19,056 Error in preprocessing data: "['HA_Open', 'HA_Close'] not in index"
2024-05-31 19:10:19,065 Data loaded successfully from /Users/gorkemberkeyuksel/Documents/GitHub/Lunapki/data/fetched_data.csv
2024-05-31 19:10:19,071 Error in preprocessing data: "['HA_Open', 'HA_Close'] not in index"
2024-05-31 19:11:19,079 Data loaded successfully from /Users/gorkemberkeyuksel/Documents/GitHub/Lunapki/data/fetched_data.csv
2024-05-31 19:11:19,085 Error in preprocessing data: "['HA_Open', 'HA_Close'] not in index"
2024-05-31 19:12:19,095 Data loaded successfully from /Users/gorkemberkeyuksel/Documents/GitHub/Lunapki/data/fetched_data.csv
2024-05-31 19:12:19,100 Error in preprocessing data: "['HA_Open', 'HA_Close'] not in index"
2024-05-31 19:13:19,114 Data loaded successfully from /Users/gorkemberkeyuksel/Documents/GitHub/Lunapki/data/fetched_data.csv
2024-05-31 19:13:19,121 Error in preprocessing data: "['HA_Open', 'HA_Close'] not in index"
2024-05-31 19:14:19,130 Data loaded successfully from /Users/gorkemberkeyuksel/Documents/GitHub/Lunapki/data/fetched_data.csv
2024-05-31 19:14:19,135 Error in preprocessing data: "['HA_Open', 'HA_Close'] not in index"
2024-05-31 19:15:19,144 Data loaded successfully from /Users/gorkemberkeyuksel/Documents/GitHub/Lunapki/data/fetched_data.csv
2024-05-31 19:15:19,149 Error in preprocessing data: "['HA_Open', 'HA_Close'] not in index"
2024-05-31 19:16:19,152 Data loaded successfully from /Users/gorkemberkeyuksel/Documents/GitHub/Lunapki/data/fetched_data.csv
