Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACD,MACD_Signal,BB_Upper,BB_Middle,BB_Lower,ATR,SMA_50,Signal,Strategy_Returns,Cumulative_Returns
2020-01-30,80.13500213623047,81.02249908447266,79.6875,80.96749877929688,78.58293914794922,126743200,66.35014561616032,,,82.08601101858378,78.00912513732911,73.93223925607444,1.5518035204461478,,0,-0.0,0.996059996234457
2020-01-31,80.23249816894531,80.66999816894531,77.07250213623047,77.37750244140625,75.09867095947266,199588400,48.05313442272861,,,81.98900614588867,78.12362518310547,74.25824422032228,1.7191744577761663,,0,-0.0,0.996059996234457
2020-02-03,76.07499694824219,78.37249755859375,75.55500030517578,77.16500091552734,74.8924331665039,173788400,47.2230072227958,,,81.75819533941201,78.26400032043458,74.76980530145714,1.7976260860362951,,0,-0.0,0.996059996234457
2020-02-04,78.82749938964844,79.91000366210938,78.40750122070312,79.7125015258789,77.36490631103516,136616400,56.84728184800122,,,81.69676039705422,78.5021255493164,75.30749070157859,1.8652958475038477,,0,0.0,0.996059996234457
2020-02-05,80.87999725341797,81.19000244140625,79.73750305175781,80.36250305175781,77.99574279785156,118826800,58.90640474668327,,,81.53196741123307,78.79037551879883,76.04878362636458,1.8375962095055258,,0,0.0,0.996059996234457
2020-02-06,80.64250183105469,81.30500030517578,80.06500244140625,81.30249786376953,78.9080581665039,105425600,61.7489856358085,,,81.65096246756845,79.06562538146973,76.48028829537101,1.7949106133815262,,0,0.0,0.996059996234457
2020-02-07,80.59249877929688,80.8499984741211,79.5,80.00749969482422,77.83551025390625,117684000,56.00163395491276,0.9704208201534072,,81.69440865433411,79.19562530517578,76.69684195601745,1.7954525598378124,,0,-0.0,0.996059996234457
2020-02-10,78.54499816894531,80.38749694824219,78.4625015258789,80.38749694824219,78.2051773071289,109348800,57.25876625608167,0.9703605119942154,,81.7708112016265,79.33587532043457,76.90093943924263,1.8047056214467745,,0,0.0,0.996059996234457
2020-02-11,80.9000015258789,80.9749984741211,79.67749786376953,79.90249633789062,77.73335266113281,94323200,55.09503455686912,0.9205655151805416,,81.81581390304052,79.36900024414062,76.92218658524072,1.768476692082831,,0,-0.0,0.996059996234457
2020-02-12,80.36750030517578,81.80500030517578,80.36750030517578,81.80000305175781,79.5793228149414,113730400,61.2626470760589,1.0224296228836778,,82.14849230153831,79.55050048828124,76.95250867502418,1.7780500688829972,,0,0.0,0.996059996234457
2020-02-13,81.04750061035156,81.55500030517578,80.8375015258789,81.21749877929688,79.01263427734375,94747600,58.60171658645865,1.0441184875501222,,82.28912660496458,79.71962547302246,77.15012434108034,1.7197966015255621,,0,-0.0,0.996059996234457
2020-02-14,81.18499755859375,81.49500274658203,80.7125015258789,81.23750305175781,79.03209686279297,80113600,58.66811097194841,1.0508081840229977,,82.45609426763791,79.84100074768067,77.22590722772343,1.6528469314668166,,0,0.0,0.996059996234457
2020-02-18,78.83999633789062,79.9375,78.65249633789062,79.75,77.5849838256836,152531200,51.990885733617,0.9254131650621105,,82.45881636570927,79.84437561035156,77.22993485499386,1.719429773066843,,0,-0.0,0.996059996234457
